job_id,titles,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay
74153116,Research Fellow (Machine Learning / Natural Language Processing / Web Scraping),Singapore Institute of Technology,Central Region,Engineering,Chemical Engineering,Full time,,2024-03-01T09:41:17Z,19d ago
74154520,"Senior/Principal Research Scientist (RVC Division, SUL Group), SIMTech","Agency for Science, Technology and Research (A*STAR)",Central Region,Science & Technology,Other,Full time,,2024-03-01T11:01:49Z,19d ago
73990280,Machine Learning Engineer,LEADER ENVIRONMENTAL TECHNOLOGIES LIMITED,West Region,Education & Training,Workplace Training & Assessment,Full time,,2024-02-23T12:27:00Z,26d ago
74090341,Postdoctoral Associate (Data-efficient machine learning),Singapore-MIT Alliance for Research and Technology Centre,Central Region,Science & Technology,Other,Full time,,2024-02-28T09:26:07Z,21d ago
74136362,Principal Software Engineer (Digital Analytics),Mediacorp Pte Ltd,Central Region,Information & Communication Technology,Developers/Programmers,Full time,,2024-03-01T02:21:27Z,19d ago
74612515,Machine Learning Ops - Global SRE,TIKTOK PTE. LTD.,Central Region,Information & Communication Technology,Networks & Systems Administration,Full time,,2024-03-20T18:54:00Z,4h ago
74597577,Research Fellow in Quantum Chemistry Quantum Machine Learning for Drug Discovery,National University of Singapore,Central Region,Science & Technology,Chemistry & Physics,Full time,,2024-03-20T05:57:24Z,17h ago
74521341,Research Fellow (Infectious Disease Modelling and Machine Learning for Public He,National University of Singapore,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-18T02:46:32Z,2d ago
74541476,Senior Data Scientist,THE BOSTON CONSULTING GROUP PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-18T14:22:00Z,2d ago
74611662,Research Scientist (IoT Systems),ROBERT BOSCH (SOUTH EAST ASIA) PTE. LTD.,Central Region,Engineering,Electrical/Electronic Engineering,Full time,,2024-03-20T18:49:00Z,4h ago
74567719,Sr. Solutions Engineer,Databricks,Central Region,Engineering,Field Engineering,Full time,,2024-03-19T12:37:00Z,1d ago
74612293,Research Engineer (Control Algorithms),LEADER ENVIRONMENTAL TECHNOLOGIES LIMITED,Central Region,Education & Training,Research & Fellowships,Full time,,2024-03-20T18:52:00Z,4h ago
74568743,Lead Solutions Architect,Databricks,Central Region,Information & Communication Technology,Architects,Full time,,2024-03-19T12:37:00Z,1d ago
74566038,Data Engineer Academy,LUXOFT INFORMATION TECHNOLOGY (SINGAPORE) PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-19T10:48:00Z,1d ago
74449239,Data Engineer,SBS Transit Limited,Central Region,Information & Communication Technology,Database Development & Administration,Full time,,2024-03-14T02:47:28Z,6d ago
74239331,"Research Associate [Machine Learning, Robotics and Control] [R00015944]",Nanyang Technological University,Central Region,Education & Training,Research & Fellowships,Full time,,2024-03-06T02:43:23Z,14d ago
74433447,Engineer,Maybank,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-13T10:20:00Z,7d ago
74540182,"Technical Architect - Big Data, Teradata",HCL Singapore Pte Ltd,Central Region,Information & Communication Technology,Developers/Programmers,Full time,,2024-03-18T14:25:00Z,2d ago
74540362,"Technical Manager - Big Data, Teradata",HCL Singapore Pte Ltd,Central Region,Information & Communication Technology,Developers/Programmers,Full time,,2024-03-18T14:25:00Z,2d ago
74589528,Associate Data Engineer,Morgan McKinley,Central Region,Government & Defence,Other,Full time,,2024-03-20T03:21:19Z,20h ago
74499497,"Digital, Cloud, Data - Data Engineering Lead (Manager)",PricewaterhouseCoopers,Central Region,Information & Communication Technology,Programme & Project Management,Full time,,2024-03-15T15:09:00Z,5d ago
74588918,Senior Data Engineer,Morgan McKinley,Central Region,Government & Defence,Other,Full time,,2024-03-20T03:14:21Z,20h ago
74540084,Manager - PACE Consulting (Internal Strategy),Rio Tinto Singapore Holdings Pte Ltd,Central Region,Sales,Management,Full time,,2024-03-18T15:40:00Z,2d ago
74568524,Senior Data Engineer (Data Lake),D L Resources Pte Ltd,Central Region,Information & Communication Technology,Developers/Programmers,Contract/Temp,,2024-03-19T12:36:00Z,1d ago
74540711,Research Engineer (Experienced),SKYWORK AI PTE. LTD.,Central Region,Education & Training,Research & Fellowships,Full time,,2024-03-18T14:24:00Z,2d ago
74460337,Data Warehouse Developer (Executive),Singapore University of Social Sciences,West Region,Information & Communication Technology,Database Development & Administration,Full time,,2024-03-14T09:03:42Z,6d ago
74585157,Research Fellow(5521),Alexandra Hospital,Singapore,Healthcare & Medical,Clinical/Medical Research,Full time,,2024-03-20T01:26:02Z,22h ago
74398885,Urgent!!! Algorithm Design Engineer,TRUST RECRUIT PTE. LTD.,Central Region,Information & Communication Technology,Engineering - Software,Full time,"$6,000 – $8,000 per month",2024-03-12T13:12:27Z,8d ago
